n,seed,final_overlap,alpha,success_rate
256,8,1.000000,0.1575,0.8600
256,9,0.992188,0.1575,0.8600
256,10,0.945312,0.1575,0.8600
256,11,0.992188,0.1575,0.8600
256,12,1.000000,0.1575,0.8600
256,13,0.968750,0.1575,0.8600
256,14,0.960938,0.1575,0.8600
256,15,0.992188,0.1575,0.8600
256,16,0.992188,0.1575,0.8600
256,17,1.000000,0.1575,0.8600
256,18,0.945312,0.1575,0.8600
256,19,0.992188,0.1575,0.8600
256,20,1.000000,0.1575,0.8600
256,21,1.000000,0.1575,0.8600
256,22,0.953125,0.1575,0.8600
256,23,1.000000,0.1575,0.8600
256,24,0.976562,0.1575,0.8600
256,25,1.000000,0.1575,0.8600
256,26,0.976562,0.1575,0.8600
256,27,0.937500,0.1575,0.8600
256,28,0.976562,0.1575,0.8600
256,29,0.937500,0.1575,0.8600
256,30,0.984375,0.1575,0.8600
256,31,0.976562,0.1575,0.8600
256,32,0.914062,0.1575,0.8600
256,33,0.968750,0.1575,0.8600
256,34,0.976562,0.1575,0.8600
256,35,0.968750,0.1575,0.8600
256,36,0.976562,0.1575,0.8600
256,37,0.960938,0.1575,0.8600
256,38,1.000000,0.1575,0.8600
256,39,0.968750,0.1575,0.8600
256,40,0.976562,0.1575,0.8600
256,41,0.992188,0.1575,0.8600
256,42,0.992188,0.1575,0.8600
256,43,0.937500,0.1575,0.8600
256,44,0.968750,0.1575,0.8600
256,45,0.992188,0.1575,0.8600
256,46,0.984375,0.1575,0.8600
256,47,0.960938,0.1575,0.8600
256,48,0.984375,0.1575,0.8600
256,49,0.968750,0.1575,0.8600
256,0,0.937500,0.1600,0.8800
256,1,0.992188,0.1600,0.8800
256,2,0.945312,0.1600,0.8800
256,3,1.000000,0.1600,0.8800
256,4,0.992188,0.1600,0.8800
256,5,0.992188,0.1600,0.8800
256,6,1.000000,0.1600,0.8800
256,7,0.984375,0.1600,0.8800
256,8,1.000000,0.1600,0.8800
256,9,0.976562,0.1600,0.8800
256,10,0.953125,0.1600,0.8800
256,11,0.992188,0.1600,0.8800
256,12,0.992188,0.1600,0.8800
256,13,0.976562,0.1600,0.8800
256,14,0.953125,0.1600,0.8800
256,15,0.992188,0.1600,0.8800
256,16,0.976562,0.1600,0.8800
256,17,1.000000,0.1600,0.8800
256,18,0.945312,0.1600,0.8800
256,19,0.992188,0.1600,0.8800
256,20,1.000000,0.1600,0.8800
256,21,1.000000,0.1600,0.8800
256,22,0.960938,0.1600,0.8800
256,23,1.000000,0.1600,0.8800
256,24,0.976562,0.1600,0.8800
256,25,1.000000,0.1600,0.8800
256,26,0.976562,0.1600,0.8800
