dataset,k,seed,image_idx,c_ab,overlap,success
mnist,50,8031,19,0.6838,0.8827,0
mnist,50,8031,20,0.6838,0.6556,0
mnist,50,8031,21,0.6838,0.6505,0
mnist,50,8031,22,0.6838,0.8520,0
mnist,50,8031,23,0.6838,0.8163,0
mnist,50,8031,24,0.6838,0.7959,0
mnist,50,8031,25,0.6838,0.6071,0
mnist,50,8031,26,0.6838,0.8265,0
mnist,50,8031,27,0.6838,0.5842,0
mnist,50,8031,28,0.6838,0.6173,0
mnist,50,8031,29,0.6838,0.8214,0
mnist,50,8031,30,0.6838,0.7679,0
mnist,50,8031,31,0.6838,0.7143,0
mnist,50,8031,32,0.6838,0.7908,0
mnist,50,8031,33,0.6838,0.8316,0
mnist,50,8031,34,0.6838,0.6556,0
mnist,50,8031,35,0.6838,0.8291,0
mnist,50,8031,36,0.6838,0.7270,0
mnist,50,8031,37,0.6838,0.6173,0
mnist,50,8031,38,0.6838,0.8061,0
mnist,50,8031,39,0.6838,0.7449,0
mnist,50,8031,40,0.6838,0.8852,0
mnist,50,8031,41,0.6838,0.7423,0
mnist,50,8031,42,0.6838,0.9031,0
mnist,50,8031,43,0.6838,0.8648,0
mnist,50,8031,44,0.6838,0.8112,0
mnist,50,8031,45,0.6838,0.7908,0
mnist,50,8031,46,0.6838,0.7653,0
mnist,50,8031,47,0.6838,0.7474,0
mnist,50,8031,48,0.6838,0.7959,0
mnist,50,8031,49,0.6838,0.7117,0
random,50,8031,0,-0.0002,1.0000,1
random,50,8031,1,-0.0002,1.0000,1
random,50,8031,2,-0.0002,0.9974,1
random,50,8031,3,-0.0002,1.0000,1
random,50,8031,4,-0.0002,1.0000,1
random,50,8031,5,-0.0002,1.0000,1
random,50,8031,6,-0.0002,0.9949,1
random,50,8031,7,-0.0002,1.0000,1
random,50,8031,8,-0.0002,1.0000,1
random,50,8031,9,-0.0002,1.0000,1
random,50,8031,10,-0.0002,1.0000,1
random,50,8031,11,-0.0002,1.0000,1
random,50,8031,12,-0.0002,1.0000,1
random,50,8031,13,-0.0002,1.0000,1
random,50,8031,14,-0.0002,1.0000,1
random,50,8031,15,-0.0002,1.0000,1
random,50,8031,16,-0.0002,1.0000,1
random,50,8031,17,-0.0002,1.0000,1
random,50,8031,18,-0.0002,1.0000,1
random,50,8031,19,-0.0002,1.0000,1
random,50,8031,20,-0.0002,1.0000,1
random,50,8031,21,-0.0002,1.0000,1
random,50,8031,22,-0.0002,1.0000,1
random,50,8031,23,-0.0002,1.0000,1
random,50,8031,24,-0.0002,1.0000,1
random,50,8031,25,-0.0002,1.0000,1
random,50,8031,26,-0.0002,1.0000,1
random,50,8031,27,-0.0002,1.0000,1
random,50,8031,28,-0.0002,1.0000,1
random,50,8031,29,-0.0002,1.0000,1
random,50,8031,30,-0.0002,1.0000,1
random,50,8031,31,-0.0002,1.0000,1
random,50,8031,32,-0.0002,1.0000,1
random,50,8031,33,-0.0002,1.0000,1
random,50,8031,34,-0.0002,1.0000,1
random,50,8031,35,-0.0002,1.0000,1
random,50,8031,36,-0.0002,1.0000,1
random,50,8031,37,-0.0002,1.0000,1
random,50,8031,38,-0.0002,1.0000,1
random,50,8031,39,-0.0002,1.0000,1
random,50,8031,40,-0.0002,1.0000,1
random,50,8031,41,-0.0002,1.0000,1
random,50,8031,42,-0.0002,1.0000,1
random,50,8031,43,-0.0002,1.0000,1
random,50,8031,44,-0.0002,1.0000,1
random,50,8031,45,-0.0002,1.0000,1
random,50,8031,46,-0.0002,1.0000,1
random,50,8031,47,-0.0002,1.0000,1
random,50,8031,48,-0.0002,1.0000,1
random,50,8031,49,-0.0002,1.0000,1
mnist,50,11316,0,0.6838,0.7577,0
mnist,50,11316,1,0.6838,0.6760,0
mnist,50,11316,2,0.6838,0.7270,0
mnist,50,11316,3,0.6838,0.8112,0
mnist,50,11316,4,0.6838,0.8393,0
mnist,50,11316,5,0.6838,0.7321,0
mnist,50,11316,6,0.6838,0.8597,0
mnist,50,11316,7,0.6838,0.6658,0
mnist,50,11316,8,0.6838,0.9158,0
mnist,50,11316,9,0.6838,0.7526,0
mnist,50,11316,10,0.6838,0.7704,0
mnist,50,11316,11,0.6838,0.7934,0
mnist,50,11316,12,0.6838,0.6378,0
mnist,50,11316,13,0.6838,0.7117,0
mnist,50,11316,14,0.6838,0.8852,0
mnist,50,11316,15,0.6838,0.7577,0
mnist,50,11316,16,0.6838,0.7270,0
mnist,50,11316,17,0.6838,0.7908,0
mnist,50,11316,18,0.6838,0.8189,0
mnist,50,11316,19,0.6838,0.8827,0
mnist,50,11316,20,0.6838,0.6556,0
mnist,50,11316,21,0.6838,0.6505,0
mnist,50,11316,22,0.6838,0.8520,0
mnist,50,11316,23,0.6838,0.8163,0
mnist,50,11316,24,0.6838,0.7959,0
mnist,50,11316,25,0.6838,0.6071,0
mnist,50,11316,26,0.6838,0.8265,0
mnist,50,11316,27,0.6838,0.5842,0
mnist,50,11316,28,0.6838,0.6173,0
mnist,50,11316,29,0.6838,0.8214,0
mnist,50,11316,30,0.6838,0.7679,0
mnist,50,11316,31,0.6838,0.7143,0
mnist,50,11316,32,0.6838,0.7908,0
mnist,50,11316,33,0.6838,0.8316,0
mnist,50,11316,34,0.6838,0.6556,0
mnist,50,11316,35,0.6838,0.8291,0
mnist,50,11316,36,0.6838,0.7270,0
mnist,50,11316,37,0.6838,0.6173,0
mnist,50,11316,38,0.6838,0.8061,0
mnist,50,11316,39,0.6838,0.7449,0
mnist,50,11316,40,0.6838,0.8852,0
mnist,50,11316,41,0.6838,0.7423,0
mnist,50,11316,42,0.6838,0.9031,0
mnist,50,11316,43,0.6838,0.8648,0
mnist,50,11316,44,0.6838,0.8112,0
mnist,50,11316,45,0.6838,0.7908,0
mnist,50,11316,46,0.6838,0.7653,0
mnist,50,11316,47,0.6838,0.7474,0
mnist,50,11316,48,0.6838,0.7959,0
mnist,50,11316,49,0.6838,0.7117,0
random,50,11316,0,-0.0012,1.0000,1
random,50,11316,1,-0.0012,1.0000,1
random,50,11316,2,-0.0012,1.0000,1
random,50,11316,3,-0.0012,1.0000,1
random,50,11316,4,-0.0012,1.0000,1
random,50,11316,5,-0.0012,1.0000,1
random,50,11316,6,-0.0012,1.0000,1
random,50,11316,7,-0.0012,1.0000,1
random,50,11316,8,-0.0012,1.0000,1
random,50,11316,9,-0.0012,1.0000,1
random,50,11316,10,-0.0012,1.0000,1
random,50,11316,11,-0.0012,1.0000,1
random,50,11316,12,-0.0012,1.0000,1
random,50,11316,13,-0.0012,1.0000,1
random,50,11316,14,-0.0012,1.0000,1
random,50,11316,15,-0.0012,1.0000,1
random,50,11316,16,-0.0012,1.0000,1
random,50,11316,17,-0.0012,1.0000,1
random,50,11316,18,-0.0012,1.0000,1
random,50,11316,19,-0.0012,1.0000,1
random,50,11316,20,-0.0012,1.0000,1
random,50,11316,21,-0.0012,1.0000,1
random,50,11316,22,-0.0012,1.0000,1
random,50,11316,23,-0.0012,1.0000,1
random,50,11316,24,-0.0012,1.0000,1
random,50,11316,25,-0.0012,1.0000,1
random,50,11316,26,-0.0012,1.0000,1
random,50,11316,27,-0.0012,1.0000,1
random,50,11316,28,-0.0012,1.0000,1
random,50,11316,29,-0.0012,1.0000,1
random,50,11316,30,-0.0012,1.0000,1
random,50,11316,31,-0.0012,1.0000,1
random,50,11316,32,-0.0012,1.0000,1
random,50,11316,33,-0.0012,1.0000,1
random,50,11316,34,-0.0012,0.9974,1
random,50,11316,35,-0.0012,1.0000,1
random,50,11316,36,-0.0012,1.0000,1
random,50,11316,37,-0.0012,1.0000,1
random,50,11316,38,-0.0012,1.0000,1
random,50,11316,39,-0.0012,1.0000,1
random,50,11316,40,-0.0012,1.0000,1
random,50,11316,41,-0.0012,1.0000,1
random,50,11316,42,-0.0012,0.9974,1
random,50,11316,43,-0.0012,1.0000,1
random,50,11316,44,-0.0012,1.0000,1
random,50,11316,45,-0.0012,0.9974,1
random,50,11316,46,-0.0012,1.0000,1
random,50,11316,47,-0.0012,1.0000,1
random,50,11316,48,-0.0012,1.0000,1
random,50,11316,49,-0.0012,1.0000,1
mnist,50,7827,0,0.6838,0.7577,0
mnist,50,7827,1,0.6838,0.6760,0
mnist,50,7827,2,0.6838,0.7270,0
mnist,50,7827,3,0.6838,0.8112,0
mnist,50,7827,4,0.6838,0.8393,0
mnist,50,7827,5,0.6838,0.7321,0
mnist,50,7827,6,0.6838,0.8597,0
mnist,50,7827,7,0.6838,0.6658,0
mnist,50,7827,8,0.6838,0.9158,0
mnist,50,7827,9,0.6838,0.7526,0
mnist,50,7827,10,0.6838,0.7704,0
mnist,50,7827,11,0.6838,0.7934,0
mnist,50,7827,12,0.6838,0.6378,0
mnist,50,7827,13,0.6838,0.7117,0
mnist,50,7827,14,0.6838,0.8852,0
mnist,50,7827,15,0.6838,0.7577,0
mnist,50,7827,16,0.6838,0.7270,0
mnist,50,7827,17,0.6838,0.7908,0
mnist,50,7827,18,0.6838,0.8189,0
mnist,50,7827,19,0.6838,0.8827,0
mnist,50,7827,20,0.6838,0.6556,0
mnist,50,7827,21,0.6838,0.6505,0
mnist,50,7827,22,0.6838,0.8520,0
mnist,50,7827,23,0.6838,0.8163,0
mnist,50,7827,24,0.6838,0.7959,0
mnist,50,7827,25,0.6838,0.6071,0
mnist,50,7827,26,0.6838,0.8265,0
mnist,50,7827,27,0.6838,0.5842,0
mnist,50,7827,28,0.6838,0.6173,0
mnist,50,7827,29,0.6838,0.8214,0
mnist,50,7827,30,0.6838,0.7679,0
mnist,50,7827,31,0.6838,0.7143,0
mnist,50,7827,32,0.6838,0.7908,0
mnist,50,7827,33,0.6838,0.8316,0
mnist,50,7827,34,0.6838,0.6556,0
mnist,50,7827,35,0.6838,0.8291,0
mnist,50,7827,36,0.6838,0.7270,0
mnist,50,7827,37,0.6838,0.6173,0
mnist,50,7827,38,0.6838,0.8061,0
mnist,50,7827,39,0.6838,0.7449,0
mnist,50,7827,40,0.6838,0.8852,0
mnist,50,7827,41,0.6838,0.7423,0
mnist,50,7827,42,0.6838,0.9031,0
mnist,50,7827,43,0.6838,0.8648,0
mnist,50,7827,44,0.6838,0.8112,0
mnist,50,7827,45,0.6838,0.7908,0
mnist,50,7827,46,0.6838,0.7653,0
mnist,50,7827,47,0.6838,0.7474,0
mnist,50,7827,48,0.6838,0.7959,0
mnist,50,7827,49,0.6838,0.7117,0
random,50,7827,0,-0.0017,1.0000,1
random,50,7827,1,-0.0017,1.0000,1
random,50,7827,2,-0.0017,1.0000,1
random,50,7827,3,-0.0017,1.0000,1
random,50,7827,4,-0.0017,1.0000,1
random,50,7827,5,-0.0017,1.0000,1
random,50,7827,6,-0.0017,1.0000,1
random,50,7827,7,-0.0017,1.0000,1
random,50,7827,8,-0.0017,1.0000,1
random,50,7827,9,-0.0017,1.0000,1
random,50,7827,10,-0.0017,1.0000,1
random,50,7827,11,-0.0017,1.0000,1
random,50,7827,12,-0.0017,1.0000,1
random,50,7827,13,-0.0017,1.0000,1
random,50,7827,14,-0.0017,1.0000,1
random,50,7827,15,-0.0017,1.0000,1
random,50,7827,16,-0.0017,1.0000,1
random,50,7827,17,-0.0017,1.0000,1
random,50,7827,18,-0.0017,1.0000,1
random,50,7827,19,-0.0017,1.0000,1
random,50,7827,20,-0.0017,1.0000,1
random,50,7827,21,-0.0017,1.0000,1
random,50,7827,22,-0.0017,1.0000,1
random,50,7827,23,-0.0017,1.0000,1
random,50,7827,24,-0.0017,1.0000,1
random,50,7827,25,-0.0017,1.0000,1
random,50,7827,26,-0.0017,1.0000,1
random,50,7827,27,-0.0017,1.0000,1
random,50,7827,28,-0.0017,1.0000,1
random,50,7827,29,-0.0017,1.0000,1
random,50,7827,30,-0.0017,1.0000,1
random,50,7827,31,-0.0017,1.0000,1
random,50,7827,32,-0.0017,1.0000,1
random,50,7827,33,-0.0017,1.0000,1
random,50,7827,34,-0.0017,1.0000,1
random,50,7827,35,-0.0017,1.0000,1
random,50,7827,36,-0.0017,1.0000,1
random,50,7827,37,-0.0017,1.0000,1
random,50,7827,38,-0.0017,1.0000,1
random,50,7827,39,-0.0017,1.0000,1
random,50,7827,40,-0.0017,1.0000,1
random,50,7827,41,-0.0017,1.0000,1
random,50,7827,42,-0.0017,1.0000,1
random,50,7827,43,-0.0017,1.0000,1
random,50,7827,44,-0.0017,1.0000,1
random,50,7827,45,-0.0017,1.0000,1
random,50,7827,46,-0.0017,1.0000,1
random,50,7827,47,-0.0017,1.0000,1
random,50,7827,48,-0.0017,1.0000,1
random,50,7827,49,-0.0017,1.0000,1
